accuracy,balanced_accuracy,f1_weighted,precision_weighted,recall_weighted,roc_auc_ovr
0.999375,0.9993489583333334,0.9993749409519491,0.9993763919821826,0.999375,1.0
0.999375,0.9993489583333334,0.9993749409519491,0.9993763919821826,0.999375,0.9999989801978906
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.999375,0.9993489583333334,0.9993749409519491,0.9993763919821826,0.999375,0.9999979603957811
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.999375,0.9993489583333334,0.9993749409519491,0.9993763919821826,0.999375,1.0
