index,mean,std
edad,7.505107646466059e-17,1.0000312514649201
imc,4.063416270128073e-16,1.00003125146492
pas,1.7319479184152443e-16,1.0000312514649201
pad,2.2293278334473143e-16,1.0000312514649201
fc,8.615330671091215e-17,1.00003125146492
fr,1.778577285449501e-16,1.0000312514649201
temp,-2.857936109990078e-15,1.0000312514649201
spo2,-2.4336088699783433e-16,1.00003125146492
glucosa,3.375077994860476e-17,1.0000312514649201
hba1c,1.2034817586936698e-16,1.0000312514649201
creatinina,-2.4424906541753446e-16,1.00003125146492
colesterol,-9.876544027065393e-16,1.0000312514649201
leucocitos,3.8125058665627877e-16,1.0000312514649201
tiempo_enfermedad,-3.375077994860476e-17,1.0000312514649201
presion_pulso,6.52811138479592e-17,1.0000312514649201
